brand_id;brand;model_id;model;version_id;version;trim;category;energy;horsepower_ch;fiscal_hp_cv;mixed_consumption_l_100km;model_year;public_price_mad;promo_price_mad;turnkey_price_mad;registration_fee_mad;paint_fee_mad;luxury_tax_mad;depreciation_y1_pct;depreciation_y2_pct;depreciation_y3_pct;source_path
19;Hyundai;1752;Tucson HEV;21733;1.6 T-GDi 230 HEV;Premium;4x4 / SUV / Crossover;Hybride;230;11;"4,8";2026;379900;0;395395;8995;6500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/tucson-hev/fiche-technique/1-6-t-gdi-230-hev-premium/21733.html
19;Hyundai;1752;Tucson HEV;21732;1.6 T-GDi 230 HEV;Prestige;4x4 / SUV / Crossover;Hybride;230;11;"4,8";2026;359900;0;375395;8995;6500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/tucson-hev/fiche-technique/1-6-t-gdi-230-hev-prestige/21732.html
19;Hyundai;1752;Tucson HEV;21735;1.6 T-GDi 230 HEV;Ultimate;4x4 / SUV / Crossover;Hybride;230;11;"4,8";2026;444900;0;460395;8995;6500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/tucson-hev/fiche-technique/1-6-t-gdi-230-hev-ultimate/21735.html
19;Hyundai;1919;Tucson PHEV;21739;1.6 T-GDi 253 PHEV;Luxe;4x4 / SUV / Crossover;Hybride rechargeable;253;11;"1,0";2026;434900;0;450395;8995;6500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/tucson-phev/fiche-technique/1-6-t-gdi-253-phev-luxe/21739.html
19;Hyundai;1919;Tucson PHEV;21738;1.6 T-GDi 253 PHEV;Premium;4x4 / SUV / Crossover;Hybride rechargeable;253;11;"1,0";2026;399900;0;415395;8995;6500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/tucson-phev/fiche-technique/1-6-t-gdi-253-phev-premium/21738.html
19;Hyundai;1919;Tucson PHEV;21740;1.6 T-GDi 253 PHEV;Ultimate;4x4 / SUV / Crossover;Hybride rechargeable;253;11;"1,0";2026;471900;0;487395;8995;6500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/tucson-phev/fiche-technique/1-6-t-gdi-253-phev-ultimate/21740.html
115;JAC;1912;E30X;22851;100 kW AT;Élite;Citadine;;;;;2026;219000;1;203505;4305;0;0;25;15;10;https://www.wandaloo.com/neuf/jac/e30x/fiche-technique/100-kw-at-elite/22851.html
115;JAC;1912;E30X;21758;100 kW AT;Flagship;Citadine;Electrique;136;9;"14,6";2026;249000;1;234505;4305;0;0;25;15;10;https://www.wandaloo.com/neuf/jac/e30x/fiche-technique/100-kw-at-flagship/21758.html
115;JAC;1981;T8;22848;2.0 CTI 136 4x2;;Ludospace / Utilitaire;Diesel;136;8;"8,2";2026;259000;1;227005;6805;0;0;25;15;10;https://www.wandaloo.com/neuf/jac/t8/fiche-technique/2-0-cti-136-4x2/22848.html
115;JAC;1981;T8;22849;2.0 CTI 136 4x4;;Ludospace / Utilitaire;;;;;2026;289000;1;257005;6805;0;0;25;15;10;https://www.wandaloo.com/neuf/jac/t8/fiche-technique/2-0-cti-136-4x4/22849.html
