source;brand_id;brand;brand_slug;model_id;model;model_slug;version_id;version;version_slug;model_image_url;source_url
moteur.ma;94;Ssangyong;ssangyong;1079;Korando;korando;938;2.0 e-XDI Luxe;20-e-xdi-luxe;https://v3.moteur.ma/storage/media/images/models/nouvelle-korando-743.png;https://www.moteur.ma/fr/neuf/voiture/ssangyong/korando/20-e-xdi-luxe/
moteur.ma;94;Ssangyong;ssangyong;1079;Korando;korando;941;2.0 e-XDI Luxe;20-e-xdi-luxe;https://v3.moteur.ma/storage/media/images/models/nouvelle-korando-743.png;https://www.moteur.ma/fr/neuf/voiture/ssangyong/korando/20-e-xdi-luxe/
moteur.ma;94;Ssangyong;ssangyong;1079;Korando;korando;942;2.0 e-XDI Luxe 4x4 BVA;20-e-xdi-luxe-4x4-bva;https://v3.moteur.ma/storage/media/images/models/nouvelle-korando-743.png;https://www.moteur.ma/fr/neuf/voiture/ssangyong/korando/20-e-xdi-luxe-4x4-bva/
moteur.ma;94;Ssangyong;ssangyong;1079;Korando;korando;936;2.0 e-XDI Premium;20-e-xdi-premium;https://v3.moteur.ma/storage/media/images/models/nouvelle-korando-743.png;https://www.moteur.ma/fr/neuf/voiture/ssangyong/korando/20-e-xdi-premium/
moteur.ma;94;Ssangyong;ssangyong;1079;Korando;korando;939;2.0 e-XDI Premium 4x4;20-e-xdi-premium-4x4;https://v3.moteur.ma/storage/media/images/models/nouvelle-korando-743.png;https://www.moteur.ma/fr/neuf/voiture/ssangyong/korando/20-e-xdi-premium-4x4/
moteur.ma;94;Ssangyong;ssangyong;1079;Korando;korando;940;2.0 e-XDI Premium BVA;20-e-xdi-premium-bva;https://v3.moteur.ma/storage/media/images/models/nouvelle-korando-743.png;https://www.moteur.ma/fr/neuf/voiture/ssangyong/korando/20-e-xdi-premium-bva/
moteur.ma;94;Ssangyong;ssangyong;1079;Korando;korando;937;2.0 e-XDI Premium Plus;20-e-xdi-premium-plus;https://v3.moteur.ma/storage/media/images/models/nouvelle-korando-743.png;https://www.moteur.ma/fr/neuf/voiture/ssangyong/korando/20-e-xdi-premium-plus/
moteur.ma;94;Ssangyong;ssangyong;1082;Rexton;rexton;944;2.0 e-Xdi;20-e-xdi;https://v3.moteur.ma/storage/media/images/models/nouvelle-rexton-924.png;https://www.moteur.ma/fr/neuf/voiture/ssangyong/rexton/20-e-xdi/
moteur.ma;94;Ssangyong;ssangyong;1082;Rexton;rexton;1440;2.0 e-Xdi BVA;20-e-xdi-bva;https://v3.moteur.ma/storage/media/images/models/nouvelle-rexton-924.png;https://www.moteur.ma/fr/neuf/voiture/ssangyong/rexton/20-e-xdi-bva/
moteur.ma;94;Ssangyong;ssangyong;1084;Stavic;stavic;1441;2.0 e-Xdi Base;20-e-xdi-base;https://v3.moteur.ma/storage/media/images/models/nouvelle-stavic-753.png;https://www.moteur.ma/fr/neuf/voiture/ssangyong/stavic/20-e-xdi-base/
